IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
83.228.198.53,83.228.198.53,8443,1.43,CH,ZRH,100.52,112.03
83.228.193.177,83.228.193.177,8443,1.41,CH,ZRH,101.15,116.04
45.148.102.244,45.148.102.244,443,1.39,CH,ZRH,210.22,240.75
167.17.181.45,167.17.181.45,443,1.35,CH,ZRH,216.92,241.92
5.182.36.39,5.182.36.39,443,1.34,CH,ZRH,101.72,110.7
87.120.222.188,87.120.222.188,443,1.34,CH,ZRH,215.85,246.47
45.143.200.141,45.143.200.141,443,1.34,CH,ZRH,201.58,210.41
193.228.128.110,193.228.128.110,443,1.34,CH,ZRH,209.48,224.22
45.143.200.211,45.143.200.211,443,1.33,CH,ZRH,205.03,213.11
141.227.139.220,141.227.139.220,443,1.32,CH,ZRH,92.4,116.11
132.243.253.10,132.243.253.10,443,1.32,CH,ZRH,207.94,228.94
171.22.16.238,171.22.16.238,443,1.32,CH,ZRH,205.24,210.51
87.120.222.39,87.120.222.39,443,1.31,CH,ZRH,210.1,232.91
140.238.209.8,140.238.209.8,443,1.25,CH,ZRH,95.0,102.47
45.143.200.135,45.143.200.135,443,1.19,CH,ZRH,216.08,215.57
82.38.139.231,82.38.139.231,443,1.17,CH,ZRH,106.13,136.37
167.17.181.72,167.17.181.72,443,1.07,CH,CDG,205.61,234.49
87.120.222.199,87.120.222.199,443,1.02,CH,ZRH,210.58,212.84
87.120.222.207,87.120.222.207,443,1.02,CH,ZRH,228.22,211.36
87.120.222.168,87.120.222.168,443,1.02,CH,ZRH,203.79,216.74
82.38.64.162,82.38.64.162,443,1.01,CH,ZRH,104.58,149.72
94.159.101.93,2a0b:4142:4d3::2,443,20.41,DE,FRA,113.93,297.48
77.91.77.91,77.91.77.91,443,13.59,DE,FRA,91.69,117.54
164.92.253.242,164.92.253.242,443,12.84,DE,FRA,153.52,236.41
193.26.159.9,193.26.159.9,8443,11.78,DE,HAM,179.5,197.05
94.159.103.71,2a0b:4142:687::2,443,11.32,DE,FRA,96.43,157.77
185.189.58.222,185.189.58.222,443,11.27,DE,FRA,124.76,128.64
152.53.15.90,152.53.15.90,443,10.75,DE,FRA,123.58,133.07
91.132.160.151,2a12:bec4:1bb0:329::2,443,10.23,DE,FRA,96.41,105.07
62.60.216.204,2a01:e5c0:57f1::2,443,10.21,DE,FRA,100.31,139.84
5.182.87.164,5.182.87.164,443,10.19,DE,FRA,90.99,113.69
193.135.137.79,193.135.137.79,443,9.96,DE,FRA,107.08,288.37
178.17.50.150,178.17.50.150,443,9.87,DE,FRA,103.82,143.62
89.127.203.246,89.127.203.246,8443,9.44,DE,FRA,105.64,134.39
77.90.33.189,77.90.33.189,443,9.26,DE,FRA,98.69,135.95
64.188.66.138,64.188.66.138,443,9.26,DE,FRA,98.42,129.51
193.26.159.9,193.26.159.9,443,9.17,DE,FRA,104.09,271.95
64.188.68.11,2a12:bec4:1bb0:bbe::2,443,9.1,DE,FRA,92.91,111.3
152.53.15.90,152.53.15.90,8443,9.03,DE,FRA,127.59,133.69
89.58.13.3,89.58.13.3,443,8.99,DE,FRA,106.69,165.58
109.172.94.240,109.172.94.240,443,8.86,DE,FRA,97.71,113.52
51.77.78.159,51.77.78.159,443,8.86,DE,FRA,91.77,141.32
152.53.248.176,152.53.248.176,8443,8.85,DE,FRA,127.0,158.84
64.188.66.138,64.188.66.138,2053,8.85,DE,FRA,101.41,146.76
2.26.123.167,2.26.123.167,443,8.76,DE,FRA,99.38,154.94
89.127.203.246,89.127.203.246,443,8.63,DE,FRA,102.53,147.92
144.31.216.8,144.31.216.8,8443,8.61,DE,FRA,101.42,151.14
162.19.247.245,162.19.247.245,443,8.51,DE,FRA,95.49,167.49
152.53.248.176,152.53.248.176,443,8.48,DE,FRA,152.05,176.1
193.26.157.139,193.26.157.139,8443,8.35,DE,FRA,122.32,204.42
89.58.13.3,89.58.13.3,8443,8.22,DE,FRA,103.17,156.21
91.132.160.141,2a12:bec4:1bb0:32c::2,443,7.81,DE,FRA,94.68,104.07
116.203.18.84,116.203.18.84,443,7.79,DE,CDG,97.22,192.69
89.34.219.214,89.34.219.214,443,7.71,DE,FRA,106.21,140.97
168.119.176.199,168.119.176.199,443,7.64,DE,FRA,102.97,123.91
152.53.228.252,152.53.228.252,8443,7.46,DE,FRA,97.2,143.86
94.159.111.170,2a0b:4142:e90::2,443,7.19,DE,FRA,87.95,95.45
94.159.98.123,2a0b:4142:24e::2,443,7.06,DE,FRA,126.34,168.06
94.159.111.159,2a0b:4142:e7f::2,443,7.05,DE,FRA,102.85,105.75
152.53.153.86,152.53.153.86,443,6.74,DE,FRA,208.35,191.4
